question_text,question_type,option_text,is_correct,answer
Wat is de hoofdstad van Canada?,multiple_choice,Ottawa,1,
Wat is de hoofdstad van Canada?,multiple_choice,Toronto,0,
Wat is de hoofdstad van Canada?,multiple_choice,Vancouver,0,
Noem een zoogdier dat kan vliegen.,open,,,"Vleermuis"
Wat is 15 * 3?,open,,,"45"
Welke planeet heeft ringen?,multiple_choice,Saturnus,1,
Welke planeet heeft ringen?,multiple_choice,Mars,0,
Welke planeet heeft ringen?,multiple_choice,Mercurius,0,
Noem een primaire kleur.,open,,,"Rood"
Wat is 50 / 5?,open,,,"10"
Welke taal wordt gesproken in Argentinië?,multiple_choice,Spaans,1,
Welke taal wordt gesproken in Argentinië?,multiple_choice,Portugees,0,
Welke taal wordt gesproken in Argentinië?,multiple_choice,Italiaans,0,
Wat is de hoofdstad van Japan?,open,,,"Tokio"
Hoeveel tanden heeft een volwassen mens gemiddeld?,open,,,"32"
Welke planeet is de grootste in ons zonnestelsel?,multiple_choice,Jupiter,1,
Welke planeet is de grootste in ons zonnestelsel?,multiple_choice,Aarde,0,
Welke planeet is de grootste in ons zonnestelsel?,multiple_choice,Saturnus,0,
Noem een waterdier.,open,,,"Dolfijn"
Wat is 9 + 10?,open,,,"19"
Welke kleur krijg je als je rood en blauw mengt?,multiple_choice,Paars,1,
Welke kleur krijg je als je rood en blauw mengt?,multiple_choice,Groen,0,
Welke kleur krijg je als je rood en blauw mengt?,multiple_choice,Oranje,0,
Noem een continent.,open,,,"Afrika"
Wat is 7 * 8?,open,,,"56"
Welke planeet staat bekend als de Rode Planeet?,multiple_choice,Mars,1,
Welke planeet staat bekend als de Rode Planeet?,multiple_choice,Venus,0,
Welke planeet staat bekend als de Rode Planeet?,multiple_choice,Jupiter,0,
Noem een boomsoort.,open,,,"Eik"
Wat is 100 - 45?,open,,,"55"
Welke oceaan ligt tussen Afrika en Australië?,multiple_choice,Indische Oceaan,1,
Welke oceaan ligt tussen Afrika en Australië?,multiple_choice,Atlantische Oceaan,0,
Welke oceaan ligt tussen Afrika en Australië?,multiple_choice,Stille Oceaan,0,
Noem een metaal.,open,,,"IJzer"
Wat is 12 + 15?,open,,,"27"
Welke planeet draait het snelst om zijn as?,multiple_choice,Jupiter,1,
Welke planeet draait het snelst om zijn as?,multiple_choice,Aarde,0,
Welke planeet draait het snelst om zijn as?,multiple_choice,Venus,0,
Noem een gas dat mensen inademen.,open,,,"Zuurstof"
Wat is 20 / 4?,open,,,"5"
Welke planeet wordt ook wel 'blauwe planeet' genoemd?,multiple_choice,Aarde,1,
Welke planeet wordt ook wel 'blauwe planeet' genoemd?,multiple_choice,Neptunus,0,
Welke planeet wordt ook wel 'blauwe planeet' genoemd?,multiple_choice,Mars,0,
Noem een fruitsoort.,open,,,"Appel"
Wat is 8 * 6?,open,,,"48"
Welke taal wordt gesproken in Brazilië?,multiple_choice,Portugees,1,
Welke taal wordt gesproken in Brazilië?,multiple_choice,Spaans,0,
Welke taal wordt gesproken in Brazilië?,multiple_choice,Engels,0,
Noem een planeet in ons zonnestelsel.,open,,,"Venus"
Wat is 14 + 23?,open,,,"37"
Welke planeet staat het dichtst bij de zon?,multiple_choice,Mercurius,1,
Welke planeet staat het dichtst bij de zon?,multiple_choice,Venus,0,
Welke planeet staat het dichtst bij de zon?,multiple_choice,Mars,0
